Year,Date,Disaster_Type,Disaster_Subtype,Region,Sub_Region,Location,Latitude,Longitude,Deaths,People_Affected,Event_Description,Disaster_ID,Source
2009,2009-11-01,Flood,Riverine flood,Dodoma,Kongwa,Pandambili,-6.0868,36.730973,38.0,50000.0,,2009-0591,GDIS (PEND) + EM-DAT
2009,2009-12-01,Flood,Riverine flood,Dodoma,,Dodoma,-5.929554,35.921328,38.0,50000.0,,2009-0484,GDIS (PEND) + EM-DAT
2009,2009-12-01,Flood,Riverine flood,Kilimanjaro,Same,Same district,-4.218529,37.897039,38.0,50000.0,,2009-0484,GDIS (PEND) + EM-DAT
2009,2009-11-01,Flood,Riverine flood,Lindi,Kilwa,Kilwa,-9.105683,39.024255,38.0,50000.0,,2009-0591,GDIS (PEND) + EM-DAT
2009,2009-11-01,Flood,Riverine flood,Mara,,Mara,-1.712655,34.075213,38.0,50000.0,,2009-0591,GDIS (PEND) + EM-DAT
2009,2009-12-01,Flood,Riverine flood,Morogoro,,Morogoro,-7.92279,36.988791,38.0,50000.0,,2009-0484,GDIS (PEND) + EM-DAT
2009,2009-11-01,Flood,Riverine flood,Morogoro,Kilosa,Kilosa,-6.975133,36.999861,38.0,50000.0,,2009-0591,GDIS (PEND) + EM-DAT
2009,2009-11-01,Flood,Riverine flood,Mwanza,,Mwanza,-2.381144,32.82076,38.0,50000.0,,2009-0591,GDIS (PEND) + EM-DAT
2009,2009-11-01,Flood,Riverine flood,Ruvuma,,Ruvuma,-10.729839,36.246956,38.0,50000.0,,2009-0591,GDIS (PEND) + EM-DAT
2009,2009-11-01,Flood,Riverine flood,Shinyanga,,Shinyanga,-3.755111,32.935671,38.0,50000.0,,2009-0591,GDIS (PEND) + EM-DAT
2009,2009-11-01,Flood,Riverine flood,Tanzania (national),,Tanzania (national),,,38.0,50000.0,Riverine flood,,EM-DAT (CRED)
2011,2011-07-01,Drought,Drought,Tanzania (national),,Tanzania (national),,,,1000000.0,Drought,,EM-DAT (CRED)
2011,2011-12-20,Flood,Riverine flood,Dar Es Salaam,Kinondoni,Kigogo,-6.816139,39.249006,37.0,65976.0,,2011-0535,GDIS (PEND) + EM-DAT
2011,2011-12-20,Flood,Riverine flood,Dar Es Salaam,Kinondoni,Mwananyamala,-6.785497,39.259314,37.0,65976.0,,2011-0535,GDIS (PEND) + EM-DAT
2011,2011-12-20,Flood,Riverine flood,Dar Es Salaam,Kinondoni,Tandale,-6.794312,39.242349,37.0,65976.0,,2011-0535,GDIS (PEND) + EM-DAT
2011,2011-12-20,Flood,Riverine flood,Dar Es Salaam,Kinondoni,Ubungo,-6.787859,39.205605,37.0,65976.0,,2011-0535,GDIS (PEND) + EM-DAT
2011,2011-12-01,Flood,Riverine flood,Kilimanjaro,,Kilimanjaro,-3.76321,37.639993,37.0,65976.0,,2011-0634,GDIS (PEND) + EM-DAT
2011,2011-12-01,Flood,Riverine flood,Mbeya,,Mbeya,-8.228635,33.352816,37.0,65976.0,,2011-0634,GDIS (PEND) + EM-DAT
2011,2011-12-20,Flood,Riverine flood,Morogoro,,Morogoro,-7.92279,36.988791,37.0,65976.0,,2011-0617,GDIS (PEND) + EM-DAT
2011,2011-12-20,Flood,Riverine flood,Tanga,,Tanga,-5.217677,38.281644,37.0,65976.0,,2011-0617,GDIS (PEND) + EM-DAT
2011,2011-12-20,Flood,Riverine flood,Tanzania (national),,Tanzania (national),,,37.0,65976.0,Riverine flood,,EM-DAT (CRED)
2012,2012-01-01,Flood,Riverine flood,Arusha,Ngorongoro,Ngorongoro district,-2.677124,35.495318,10.0,0.0,,2012-0072,GDIS (PEND) + EM-DAT
2012,2012-01-01,Flood,Riverine flood,Tanzania (national),,Tanzania (national),,,10.0,,Riverine flood,,EM-DAT (CRED)
2014,2014-04-10,Flood,Flash flood / Riverine flood,Dar Es Salaam,,Dar Es Salaam,-6.888154,39.263435,31.0,40000.0,,2014-0119,GDIS (PEND) + EM-DAT
2014,2014-01-21,Flood,Flash flood / Riverine flood,Dodoma,,Dodoma,-5.929554,35.921328,31.0,40000.0,,2014-0042,GDIS (PEND) + EM-DAT
2014,2014-01-21,Flood,Flash flood / Riverine flood,Manyara,,Manyara,-4.531698,36.545341,31.0,40000.0,,2014-0042,GDIS (PEND) + EM-DAT
2014,2014-04-10,Flood,Flash flood / Riverine flood,Mbeya,Kyela,Kyela,-9.534913,33.870428,31.0,40000.0,,2014-0119,GDIS (PEND) + EM-DAT
2014,2014-01-21,Flood,Flash flood / Riverine flood,Morogoro,Kilosa,Kilosa,-6.975133,36.999861,31.0,40000.0,,2014-0042,GDIS (PEND) + EM-DAT
2014,2014-01-21,Flood,Flash flood / Riverine flood,Morogoro,Mvomero,Mvomero,-6.522129,37.545759,31.0,40000.0,,2014-0042,GDIS (PEND) + EM-DAT
2014,2014-04-10,Flood,Flash flood / Riverine flood,Morogoro,,Morogoro,-7.92279,36.988791,31.0,40000.0,,2014-0119,GDIS (PEND) + EM-DAT
2014,2014-01-21,Flood,Flash flood / Riverine flood,Tanga,,Tanga,-5.217677,38.281644,31.0,40000.0,,2014-0042,GDIS (PEND) + EM-DAT
2014,2014-01-21,Flood,Flash flood,Tanzania (national),,Tanzania (national),,,3.0,20000.0,Flash flood,,EM-DAT (CRED)
2014,2014-01-21,Flood,Riverine flood,Tanzania (national),,Tanzania (national),,,28.0,20000.0,Riverine flood,,EM-DAT (CRED)
2015,2015-05-07,Flood,Flood (General),Arusha,,Arusha,-2.971649,35.922795,12.0,5000.0,,2015-0205,GDIS (PEND) + EM-DAT
2015,2015-05-07,Flood,Flood (General),Dar Es Salaam,,Dar Es Salaam,-6.888154,39.263435,12.0,5000.0,,2015-0205,GDIS (PEND) + EM-DAT
2015,2015-05-07,Flood,Flood (General),Kagera,,Kagera,-1.878947,31.453917,12.0,5000.0,,2015-0205,GDIS (PEND) + EM-DAT
2015,2015-05-07,Flood,Flood (General),Kilimanjaro,,Kilimanjaro,-3.76321,37.639993,12.0,5000.0,,2015-0205,GDIS (PEND) + EM-DAT
2015,2015-05-07,Flood,Flood (General),Tanga,,Tanga,-5.217677,38.281644,12.0,5000.0,,2015-0205,GDIS (PEND) + EM-DAT
2015,2015-05-07,Flood,Flood (General),Tanzania (national),,Tanzania (national),,,12.0,5000.0,Flood (General),,EM-DAT (CRED)
2016,2016-01-17,Flood,Flash flood,Tanzania (national),,Tanzania (national),,,,53446.0,Flash flood,,EM-DAT (CRED)
2016,2016-01-17,Flood,Flood (General),Tanzania (national),,Tanzania (national),,,16.0,86829.0,Flood (General),,EM-DAT (CRED)
2017,2017-03-15,Flood,Riverine flood,Tanzania (national),,Tanzania (national),,,7.0,,Riverine flood,,EM-DAT (CRED)
2018,2018-03-09,Flood,Flood,"Dar es Salam, Arusha, Kilimanjaro, Tanga, Manyara, Tabora, Singida, Pwani, Kagera, Mtwara, Dodoma, Mwanza and Morogoro",,,,,33.0,20253.0,,,FloodList
2018,2018-04-14,Flood,Flood (General),Tanzania (national),,Tanzania (national),,,15.0,15873.0,Flood (General),,EM-DAT (CRED)
2019,2019-05-08,Flood,Flood,Dar es Salaam,Kinondoni Municipality,,,,,3745.0,,,FloodList
2019,2019-05-08,Flood,Flood,Dar es Salaam,Ilala Municipality,,,,2.0,3565.0,,,FloodList
2019,2019-05-08,Flood,Flood,Dar es Salaam,Temeke Municipality,,,,,270.0,,,FloodList
2019,2019-10-12,Flood,Flood,Morogoro,,,,,11.0,,,,FloodList
2019,2019-11-15,Flood,Flood,National,,,,,44.0,1113.0,,,FloodList
2019,2019-10-13,Flood,Flood,Pwani,,,,,,,,,FloodList
2019,2019-10-13,Flood,Flood,Tanga,,,,,18.0,,,,FloodList
2019,2019-05-08,Flood,Flood (General),Tanzania (national),,Tanzania (national),,,37.0,5000.0,Flood (General),,EM-DAT (CRED)
2019,2019-05-08,Flood,Riverine flood,Tanzania (national),,Tanzania (national),,,10.0,,Riverine flood,,EM-DAT (CRED)
2020,2020-01-27,Flood,Flood,Iringa,Pawaga and Idodi,Tungamalenga,,,3.0,,Flash floods,,FloodList
2020,2020-01-26,Flood,Flood,Lindi,Kilwa,"Njinjo , Kipindimbi, Kisimamkika, Mitole, Kikole,
Ruhatwe, Mavuji, Mchakama, Nakiu, Nakangaga, Nanjirinji B, Kiranjeranje and Likawage",,,,4500.0,Heavy rain,,FloodList
2020,2020-01-29,Flood,Flood,Lindi,"Liwale, Ruangwa",,,,21.0,20980.0,,,FloodList
2020,2020-01-27,Flood,Flash flood,Tanzania (national),,Tanzania (national),,,41.0,28258.0,Flash flood,,EM-DAT (CRED)
2020,2020-01-27,Flood,Flood (General),Tanzania (national),,Tanzania (national),,,2.0,36823.0,Flood (General),,EM-DAT (CRED)
2021,2021-11-01,Drought,Drought,Tanzania (national),,Tanzania (national),,,,2100000.0,Drought,,EM-DAT (CRED)
2021,2021-01-11,Flood,Flash flood,Tanzania (national),,Tanzania (national),,,1.0,2000.0,Flash flood,,EM-DAT (CRED)
2022,2022-04-28,Flood,Flood (General),Tanzania (national),,Tanzania (national),,,10.0,3500.0,Flood (General),,EM-DAT (CRED)
2023,2023-10-15,Flood,Flood (General),Tanzania (national),,Tanzania (national),,,51.0,2898500.0,Flood (General),,EM-DAT (CRED)
2024,2024-04-07,Flood,Flash flood,Tanzania (national),,Tanzania (national),,,155.0,200236.0,Flash flood,,EM-DAT (CRED)
2024,2024-04-07,Flood,Flood (General),Tanzania (national),,Tanzania (national),,,9.0,140.0,Flood (General),,EM-DAT (CRED)
2025,2025-02-01,Flood,Flood (General),Tanzania (national),,Tanzania (national),,,26.0,3150.0,Flood (General),,EM-DAT (CRED)
2018,2018-04-14,Flood,Flood,Dar es Salaam,,,,,,,,,FloodList
2018,2018-04-14,Flood,Flood,Mara,Rorya,,,,,665.0,,,FloodList
2018,2018-04-14,Flood,Flood,Mara,Musoma Rural,"Sungaji ward, Kilimanjaro village",,,,448.0,,,FloodList
2018,2018-04-14,Flood,Flood,Mvomero,,,,,,,,,FloodList
2018,2018-04-14,Flood,Flood,Mwanza,,,,,,,,,FloodList
